,HOMO - 1,HOMO,LUMO,LUMO + 1,SMILES String
Lithium benzoate,-9.1753,-9.0876,0.9016,1.0718,[Li+].[O-]C(=O)c1ccccc1
DBN,-8.8710,-8.0247,2.5937,3.1774,C1CC2=NCCCN2C1
ZnC6F52,-9.5561,-9.5322,0.0302,0.0640,[C-]1=C(C(=C(C(=C1F)F)F)F)F.[C-]1=C(C(=C(C(=C1F)F)F)F)F.[Zn+2]
BF3,-15.0821,-14.5217,1.6518,1.9057,FB(F)F
Acridine Orange,-7.3192,-7.0858,-0.3497,1.6475,CN(C)c3ccc2cc1ccc(cc1nc2c3)N(C)C
TBAF,-7.8577,-7.8237,2.3482,2.7725,CCCC[N+](CCCC)(CCCC)CCCC.O.[F-]
Pyronin B,-7.8480,-7.7932,-2.6762,-0.0700,CCN(CC)C1=CC2=C(C=C1)C=C3C=CC(=[N+](CC)CC)C=C3O2.[Cl-]
NDI-N,-8.5188,-8.5182,-2.0641,0.0398,CN(C)CCCn1c(=O)c2c3c(c1=O)ccc1c3c(cc2)c(=O)n(c1=O)CCCN(C)C
DQ,-8.5146,-4.9377,1.0800,1.1711,c1ccn2c(=c3n(CC2)cccc3)c1
BV,-8.8574,-4.9025,1.2849,1.3521,c1ccc(cc1)Cn1ccc(=c2ccn(cc2)Cc2ccccc2)cc1
BTQBT,-8.2710,-6.8527,-0.5898,-0.2245,c5csc(=c3c1nsnc1c(=c2sccs2)c4nsnc34)s5
p-Me-DMBI,-8.3332,-5.0177,0.2916,1.5492,c1ccc(c(c1)NC)N(Cc1ccc(cc1)C)C
p-Me-DMBI-Me2,-8.0836,-6.4295,1.5528,1.5650,Cc1c(C)cc2c(c1)N(C(N2C)c1ccc(cc1)C)C
BCF,-9.8921,-9.7439,-1.4984,0.6620,c1(c(c(c(c(c1F)F)F)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F
o-MeO-DMBI,-8.3508,-6.4538,1.4182,1.9025,COc1ccccc1C1N(C)c2ccccc2N1C
TTN,-8.8880,-6.2068,-1.1724,0.1849,c1ccc(c(c1)NC)N(Cc1ccc(cc1)C)C
TDAE,-7.9003,-5.5612,2.6916,3.3901,C(C(N(C)C)N(C)C)(N(C)C)N(C)C
TBD,-8.5656,-7.7107,3.0897,3.1805,C1CN2C(=NCCC2)NC1
TAM,-8.5072,-8.0915,3.0476,3.4874,C1CN2[C@H]3N(C1)CCCN3CCC2
N-DMBI-Me2,-7.3874,-6.3701,1.6201,1.9121,Cc1c(C)cc2c(c1)N(C(N2C)c1ccc(cc1)N(C)C)C
F6-TCNNQ,-9.5843,-8.6443,-4.3675,-1.2050,N#CC(C#N)c1c(c(c2c(c(c(F)c(c2c1F)F)C(C#N)C#N)F)F)F
